genres,popularity,vote_average,spoken_languages
"Comedy, Drama, Romance",1.792402,4.7,Pусский
"Comedy, Fantasy",1.16103,3.9,Pусский
"Comedy, Fantasy",0.686991,3.6,Pусский
"Comedy, Fantasy",1.174113,3.9,Pусский
"Animation, Family, Fantasy",0.635137,7.0,
"Comedy, Family, Romance",7.387171,6.5,English
"Comedy, Drama, Family, Romance",8.248895,6.0,English
"Family, Comedy, Drama",5.667344,5.8,"English, Français, Pусский"
"Comedy, Family",5.062112,5.2,"English, Français"
"Horror, Comedy, Fantasy",10.434018,6.7,"English, Italiano"
Horror,9.330087,5.9,English
"Horror, Science Fiction",6.060156,3.8,"English, Pусский, Español"
"Drama, Horror",8.365761,6.4,English
Horror,6.823445,5.0,English
Horror,6.173017,5.5,English
Horror,2.788831,5.8,"English, Italiano"
Horror,3.349812,6.0,"English, Deutsch"
Horror,2.420391,4.9,English
Horror,4.139393,4.2,English
Horror,3.447033,3.6,English
Horror,1.34643,2.5,English
"Horror, Fantasy, Science Fiction",1.169339,2.1,English
Horror,0.866995,3.1,English
Horror,0.724869,3.7,English
"Action, Thriller",2.526907,6.0,"Pусский, English, svenska"
"Thriller, Action, Drama",7.287815,5.9,"Pусский, svenska, العربية, English"
"Thriller, Action",0.473471,6.0,"العربية, English, Deutsch, svenska"
"Action, Adventure",7.261696,7.6,普通话
Action,2.609107,6.8,"广州话 / 廣州話, 普通话"
Action,1.426625,6.4,"广州话 / 廣州話, Deutsch, Italiano, 普通话"
Horror,1.203655,5.6,Español
Horror,1.791601,4.8,Español
Horror,2.009344,5.5,Español
"Comedy, Fantasy, TV Movie",9.762587,6.4,English
"Drama, Fantasy",4.167059,6.9,English
"Fantasy, Comedy, Science Fiction",5.818278,7.0,English
"Fantasy, Animation, Comedy",0.764764,6.7,English
"Fantasy, Animation",1.099806,5.7,English
"Action, Comedy, Crime, Mystery",1.939255,5.1,English
"Action, Comedy, Family",2.278459,4.1,English
Comedy,9.304901,6.0,English
Comedy,9.802574,7.1,English
"Adventure, Comedy, Romance",11.457485,6.0,English
"Comedy, Adventure, Romance",7.747432,7.1,English
Comedy,11.33038,6.1,English
"Action, Adventure, Horror",5.004215,6.0,English
"Action, Horror",2.438754,4.5,English
"Action, Horror, Science Fiction",1.832243,4.9,English
"Action, Comedy, Horror, Science Fiction, Thriller",10.113807,5.9,English
"Comedy, Horror, Science Fiction, Thriller",9.97523,5.0,English
"Comedy, Horror, Science Fiction, Thriller",5.163739,4.5,English
"Comedy, Horror, Science Fiction, Thriller",8.537871,4.3,English
Action,0.236093,5.4,English
"Horror, Comedy",9.099731,6.8,English
"Crime, Drama, Horror, Thriller",4.560963,4.6,"English, Polski"
"Action, Adventure, Comedy",2.058133,5.4,"English, Polski, Español"
"Action, Animation, Fantasy",6.751603,5.0,日本語
"Animation, Fantasy",1.337121,6.6,日本語
"Action, Animation, Fantasy",3.565311,5.8,日本語
"Action, Animation, Fantasy",1.401616,6.5,日本語
"Action, Animation, Fantasy",2.566613,6.6,日本語
"Action, Animation, Fantasy",1.304154,5.8,日本語
"Drama, Fantasy, Science Fiction, Thriller",2.663191,4.0,English
"Fantasy, Drama, Thriller",1.610081,5.2,English
"Action, Adventure, Drama, Fantasy, Science Fiction, Thriller",0.756699,4.4,English
"Horror, Thriller",16.641277,7.2,"English, Italiano, Latin"
"Action, Drama, Horror, Thriller",10.235373,6.1,English
"Drama, Horror, Thriller",7.798615,5.5,English
"Fantasy, Horror, Mystery",2.729521,4.6,English
"Horror, Action, Thriller, Crime",15.339153,6.9,"English, Español"
"Western, Horror, Thriller",4.839043,4.6,English
"Crime, Action, Horror, Thriller",13.778043,4.4,English
Comedy,12.650546,6.1,English
Comedy,5.269838,5.2,English
Comedy,3.208108,5.0,English
"Horror, Adventure, Action",12.643312,6.0,"English, Latin"
"Action, Animation, Fantasy, Horror",5.003222,6.0,"English, Español"
"Horror, Science Fiction",13.534589,7.1,English
"Horror, Science Fiction, Thriller",9.207436,5.2,"English, Polski"
"Action, Comedy, Crime, Drama",2.634068,6.2,Italiano
"Action, Comedy, Crime, Drama",1.713609,6.1,Italiano
"Action, Comedy, Thriller, Drama",3.477146,5.4,Italiano
"Action, Comedy, Crime, Drama",2.602674,5.8,Italiano
Western,10.650752,7.4,"English, Español"
Western,3.057434,5.3,"English, Español"
"Action, Adventure, Drama, Western",2.639721,5.1,"English, Español"
"Action, Western",2.366529,5.5,"English, Español"
"Horror, Thriller",2.512786,5.4,English
"Comedy, Crime",7.634017,6.4,English
"Comedy, Crime",9.927412,5.7,English
Drama,9.783762,6.6,"English, Español"
Drama,4.59233,5.8,"Español, English"
Drama,3.128836,3.8,English
"Comedy, Drama, Romance",3.8143,6.6,"English, Français, Deutsch"
"Comedy, Drama, Romance",6.865148,5.5,English
"Comedy, Drama, Romance",10.975587,5.6,Español
"Drama, Romance",5.749906,5.4,English
"Family, Comedy, Crime",2.393462,6.5,Dansk
"Family, Comedy, Crime",2.056428,7.3,Dansk
"Family, Comedy, Crime",1.799557,7.7,Dansk
"Family, Comedy, Crime",0.730663,7.3,Dansk
"Mystery, Crime, Thriller",1.685889,7.1,Deutsch
Horror,15.526413,7.1,English
Horror,9.501011,5.8,English
"Horror, Thriller",5.79907,5.1,English
"Horror, Comedy, Thriller",6.854576,3.9,English
"Horror, Thriller",7.214828,5.3,English
Horror,9.742082,5.7,English
"Action, Comedy, Foreign",0.434269,5.5,广州话 / 廣州話
"Action, Thriller",7.490247,5.6,English
"Action, Thriller",9.918269,6.1,English
"Documentary, Foreign",0.001715,0.0,日本語
"Documentary, Foreign",0.102332,0.0,日本語
Comedy,2.972928,6.2,svenska
Comedy,1.076739,4.8,svenska
Comedy,2.059092,4.6,"English, Norsk, svenska"
Comedy,2.003868,5.2,"English, Deutsch, Norsk, svenska"
Comedy,1.842412,4.7,svenska
Comedy,1.84439,4.5,svenska
"Music, Comedy, Action, Crime",10.076901,7.5,English
"Music, Action, Comedy, Crime",13.162168,5.2,"Pусский, English"
"Drama, Action, Thriller",0.965482,6.5,Deutsch
"Action, Mystery",1.203082,7.5,English
"Action, Comedy, Foreign",2.678121,7.2,English
Action,1.30639,6.8,"English, Español"
Action,1.686588,6.8,English
Action,0.910518,6.7,English
"Action, Adventure",1.194806,6.1,English
"Comedy, Drama, Romance",0.872822,6.5,English
"Action, Adventure",1.043612,6.5,English
"Thriller, Action",0.325683,7.2,English
"Action, Comedy, Thriller",4.969116,5.3,"العربية, Nederlands, English, Français, Deutsch, Italiano"
Documentary,4.776619,7.3,"English, Deutsch"
Documentary,2.400134,7.2,"English, Français, Deutsch, 日本語"
Documentary,1.259725,7.4,"English, Deutsch, Português, Español"
"Animation, Action",1.511957,6.5,日本語
"Action, Animation",1.357836,5.3,日本語
"Action, Animation",2.451587,6.1,日本語
"Animation, Action",1.385707,5.8,日本語
"Animation, Action",1.069205,5.6,日本語
"Action, Drama, Adventure",1.92429,5.4,English
"Adventure, Fantasy, Drama, Action, Science Fiction",5.702677,4.9,English
"Action, Drama, Science Fiction",4.541138,4.2,English
"Science Fiction, Family, Adventure, Comedy",0.446074,4.0,Pусский
"Science Fiction, Family, Adventure, Comedy",1.443911,4.7,Pусский
Comedy,7.364297,6.0,English
Comedy,7.101422,5.8,English
"Science Fiction, Horror",3.267125,5.4,English
"Science Fiction, Horror",1.24306,4.0,English
"Horror, Science Fiction",0.409937,4.1,English
"Animation, Comedy, Adventure",0.731334,3.0,Pусский
"Animation, Drama, Family",1.572727,6.1,"English, Français, Polski"
"Family, Animation",1.798472,5.4,English
"Horror, Comedy, Thriller",9.455342,6.7,English
"Horror, Comedy",3.450402,5.0,"English, Español"
Horror,4.407775,7.2,English
Horror,2.278268,6.5,English
Horror,2.467616,3.7,English
"Action, Drama, Adventure, War",2.023147,6.8,English
"Adventure, Drama, War",1.094773,6.7,English
Horror,7.97048,4.6,English
"Drama, Fantasy, Horror, Thriller",11.84696,5.6,"English, Português, Español"
Horror,8.357875,4.5,English
"Thriller, Horror",4.411511,4.7,English
"Drama, Horror, Thriller",9.895965,4.3,English
"Horror, Mystery",11.091559,3.5,English
"Horror, Thriller",6.132346,3.8,English
"Horror, Thriller",2.112394,4.0,English
Horror,2.58429,3.7,English
"Science Fiction, Action, Adventure, Thriller",8.105708,6.4,English
"Science Fiction, Action, Adventure, Thriller",8.808497,7.0,English
"Science Fiction, Action, Adventure, Thriller",9.538877,6.3,English
"Science Fiction, Action, Adventure, Thriller",11.367801,6.1,English
"Science Fiction, Action, Adventure",15.362632,7.4,English
"Action, Adventure, Science Fiction",15.78129,7.4,English
"Action, Adventure, Science Fiction",20.659284,6.6,English
"Adventure, Science Fiction, Action",12.636205,5.6,"Italiano, English"
"Fantasy, Action, Science Fiction, Thriller, Horror",10.793324,4.9,English
"Thriller, Mystery",18.566706,6.5,"English, Français, Latin, Español"
"Thriller, Mystery",22.211558,6.5,"English, Italiano, Latin, Français, Deutsch, 普通话"
Thriller,18.311054,5.7,English
Comedy,4.454569,7.2,"Français, Italiano"
Comedy,2.865776,7.6,"Français, Italiano"
Comedy,1.757168,7.2,"Français, Italiano, Pусский"
"Thriller, Horror",6.000716,4.6,English
Horror,1.903107,5.1,"Italiano, English"
Horror,2.591448,3.7,"English, Français, Română"
"Action, Adventure, Science Fiction, Thriller",12.229381,5.6,English
