genres,popularity,vote_average,spoken_languages
Comedy,0.654897,5.4,svenska
"Animation, Drama",1.298504,6.5,Český
"Horror, Comedy",4.121133,6.3,Español
Comedy,11.746053,5.8,English
Documentary,0.270623,5.6,English
Drama,0.823384,6.6,English
"Horror, Comedy",9.143819,6.3,English
Documentary,0.205883,6.1,English
Documentary,2.92387,7.2,English
"Horror, Thriller",0.401967,5.6,English
Documentary,0.458737,2.0,English
Documentary,2.242117,7.0,English
"Documentary, Romance",0.008235,0.0,
"Documentary, Music",0.158129,5.5,English
Documentary,2.24163,6.8,English
Comedy,2.261326,4.9,English
"Science Fiction, Thriller",5.928982,4.3,English
Documentary,0.0,0.0,"English, Français"
Documentary,0.327944,5.0,
Music,0.358534,7.1,
"Drama, Foreign",0.471995,5.9,Español
"Drama, TV Movie",1.373713,7.2,English
"Adventure, Action, Drama",0.863445,4.8,English
"Comedy, Drama",1.448735,5.5,English
Documentary,0.739621,5.3,English
"Drama, War",0.791655,8.4,English
Drama,0.165246,6.3,English
Comedy,0.256054,7.0,Français
Comedy,0.111031,4.7,Français
Comedy,1.868374,5.9,Français
"Action, Adventure",3.777176,4.8,English
"Drama, History",3.445547,6.7,Français
"Science Fiction, Thriller",10.855439,5.9,English
"Drama, Horror, Thriller, Foreign",0.186992,3.5,English
Documentary,2.345532,4.8,English
"Drama, History",2.898182,6.5,Français
"Drama, Romance",0.278476,5.6,
"Romance, Drama",0.796132,0.0,English
"War, Documentary",0.001177,0.0,English
Documentary,0.041681,6.0,日本語
Drama,0.439923,6.6,svenska
Drama,7.06378,6.0,English
"Drama, Romance",0.485409,5.6,English
Thriller,1.462095,5.5,English
Thriller,8.219562,6.7,English
"Drama, Romance",0.985408,5.9,English
"Horror, Drama",0.414982,0.0,"English, Deutsch"
"Comedy, Drama",0.915893,6.1,
"Drama, Science Fiction",1.169235,5.7,English
"Drama, Romance",1.690488,4.9,English
"Drama, Romance",0.585417,4.1,English
"Documentary, Science Fiction",0.080713,8.0,
"Action, Drama, Crime",5.311336,5.7,"Srpski, English"
Drama,3.611437,7.3,"English, Deutsch, हिन्दी, தமிழ், తెలుగు"
"Music, Drama, Comedy",1.525928,7.0,日本語
Comedy,1.676586,6.3,
"Adventure, Animation, Comedy, Family",1.034057,7.5,"English, Deutsch, Português"
"Drama, Action, Western",1.086187,6.4,English
"Drama, Crime, Thriller",1.268148,6.1,English
Drama,2.779704,5.9,Français
"Romance, Comedy",0.889662,4.8,English
Comedy,0.35,0.0,Português
"Fantasy, Drama",0.001097,0.0,"Português, Français"
Drama,0.962442,6.0,svenska
Documentary,0.186225,6.0,
"Crime, Thriller",14.950975,5.2,English
"Action, Thriller",8.73819,5.3,English
"Comedy, Drama",2.156849,5.5,Français
"Drama, Documentary, Foreign",0.843295,3.8,Deutsch
"Crime, Thriller",6.532164,5.3,English
"TV Movie, Drama",0.981883,6.3,English
"Documentary, Comedy, Family",0.400975,6.0,English
Drama,0.457497,6.2,English
Drama,0.064785,0.0,English
"Thriller, Mystery",1.778183,6.5,English
Drama,1.686305,4.3,"English, Español"
"Drama, Comedy",0.340973,4.5,English
"Crime, Drama, Action, Thriller",8.581558,6.2,English
"Horror, Thriller",2.827337,5.0,English
"Action, Comedy",0.040854,10.0,
Action,0.407244,5.3,
"Action, Fantasy",1.650324,3.3,English
"Drama, Thriller",5.367502,5.9,English
"Comedy, Drama",7.453375,4.0,English
Thriller,11.52128,5.2,English
Documentary,0.157802,5.9,English
"Thriller, Crime, Drama",13.132127,6.4,English
Drama,4.200146,6.8,svenska
Horror,0.02158,4.1,
"Action, Thriller",0.156926,3.0,English
"Documentary, TV Movie",0.043862,5.0,English
"Fantasy, Animation, Comedy, Drama",3.974088,7.8,English
"Drama, Comedy, Romance",1.78277,4.2,English
"Action, Crime, Thriller",7.951137,5.7,English
"Drama, Crime, Mystery, Foreign",0.173855,4.0,
Documentary,1.477577,6.8,"বাংলা, Deutsch, Français, English, ภาษาไทย, 日本語, Español"
"Comedy, Crime",2.203307,6.2,English
"Documentary, Drama",0.540795,6.3,한국어/조선말
"Drama, Documentary, Romance",1.198442,7.2,
Documentary,2.449115,7.5,English
"Crime, Drama, Action",1.35099,3.9,English
"Drama, Romance",4.750814,7.2,Română
Documentary,0.589383,6.4,English
Drama,1.812246,6.5,English
"Animation, Drama",0.467637,8.2,Český
"Music, Documentary",0.254136,6.2,
Drama,9.313199,6.8,"English, Français"
Documentary,1.442038,7.6,English
Documentary,1.99456,7.1,English
"Action, Western",0.737559,3.3,English
"Comedy, Romance, Science Fiction",0.681778,3.3,English
"Comedy, Family",0.527295,5.2,English
"Drama, Thriller",1.09906,4.1,Français
Documentary,0.598646,7.0,English
"Drama, Thriller",0.312837,6.7,"English, Español"
"Action, Adventure, Drama",0.262837,8.0,
Comedy,0.28763,4.8,svenska
"Drama, History",5.337351,6.5,Français
"Action, Foreign, Thriller",1.946581,5.3,"English, 한국어/조선말, 普通话, Pусский, ภาษาไทย"
"Action, Crime, Thriller",10.691321,5.7,English
Horror,16.018525,6.0,English
Thriller,1.351956,5.4,Dansk
"Drama, Science Fiction",8.003815,6.5,English
"Comedy, Romance",0.05971,0.0,English
Documentary,0.727515,7.4,English
"Foreign, Drama",0.129056,5.0,Español
Documentary,0.0,0.0,English
"Crime, Drama, TV Movie, Thriller",0.64384,5.0,English
"Thriller, Crime, Drama",12.136158,5.7,English
Documentary,0.307601,5.4,English
"Comedy, Romance, Drama",0.142747,6.6,ελληνικά
"Crime, Thriller",5.765418,6.7,한국어/조선말
Drama,10.463908,6.4,English
"Action, Thriller, Foreign",0.478751,1.0,English
Documentary,2.629961,7.5,English
"Drama, Foreign",0.326654,7.3,Español
Thriller,4.38806,5.7,English
"Mystery, Science Fiction, Horror, Fantasy",2.775518,5.1,"svenska, Norsk"
Comedy,3.54286,6.0,English
"Comedy, Western",0.3214,5.7,English
"Comedy, Drama",0.140017,5.0,English
"Documentary, Foreign",0.028745,0.0,English
"Science Fiction, Thriller",7.987112,3.8,"English, 日本語, 普通话, ภาษาไทย"
"Music, Documentary",0.404706,8.1,English
"Drama, Horror, Thriller",0.696757,3.2,English
"Drama, Romance",6.651607,5.4,"Dansk, English"
Documentary,0.790239,8.2,English
Documentary,1.904093,6.5,"English, 日本語, Pусский"
"Documentary, Music",1.434624,7.4,"English, Français"
Drama,1.50978,6.6,English
"Crime, Drama, Thriller",0.370335,6.0,English
"Western, Action, War",1.248369,4.9,English
"Documentary, Foreign",0.15962,8.6,
"Drama, Thriller",1.509963,6.6,"العربية, Français"
Drama,1.134888,6.7,English
Drama,0.310636,7.6,
"Thriller, Mystery",1.898197,4.5,English
Drama,2.700233,8.0,한국어/조선말
"Drama, Action, History, War",5.74216,7.6,"한국어/조선말, 日本語, Pусский, Deutsch, 普通话, English"
Comedy,5.691572,5.9,"English, Español, Français, 日本語"
"Comedy, Music",0.988841,7.5,
"Documentary, Family",0.359806,6.9,suomi
"Crime, Drama, Horror, Thriller",1.754538,4.2,English
"Mystery, Horror, Drama",0.280284,6.0,English
Comedy,0.409878,5.1,Polski
Comedy,10.895427,4.5,English
Documentary,0.071884,8.0,English
"Drama, War",0.240743,7.0,English
Documentary,0.008267,7.8,Slovenčina
Drama,0.085868,5.0,"English, Español, "
Drama,0.021472,0.0,Français
Documentary,1.556451,7.2,English
"Action, Crime",13.963892,5.7,English
Comedy,0.234034,3.2,"Français, English"
Drama,2.711041,6.9,"普通话, 广州话 / 廣州話, English"
"Drama, Comedy",0.112839,6.2,
Drama,1.346317,5.8,English
Documentary,0.39262,8.1,Pусский
Drama,0.082589,5.0,Español
Comedy,0.720345,6.4,English
"Comedy, Crime, Adventure",9.921876,6.2,English
Comedy,0.511507,5.7,日本語
"Fantasy, Horror, Action",10.337211,5.7,English
Documentary,1.006239,7.5,Norsk
Documentary,0.076587,7.0,English
Documentary,4.611972,5.5,English
"Action, Adventure, Science Fiction, Thriller",1.010072,3.5,English
"Action, Comedy, Thriller",1.223071,4.7,한국어/조선말
Documentary,0.056598,5.0,
Drama,4.77863,6.6,English
Documentary,0.802144,7.2,svenska
Documentary,0.055453,8.0,English
"TV Movie, History, War",0.430963,0.0,English
Comedy,1.50968,7.8,English
"Documentary, Music",2.231719,7.8,English
Comedy,0.825885,5.4,"English, Polski"
Drama,0.014339,0.0,日本語
"Comedy, Drama, Romance, Music, Family",1.62656,3.5,English
"Documentary, Western",0.356391,6.0,
Documentary,0.07686,7.0,"Français, English"
"Comedy, Drama",3.291884,5.3,English
"Thriller, Crime, Horror, Mystery",0.285177,6.3,English
Comedy,0.353365,5.0,English
Thriller,2.03027,6.4,Français
"Drama, Thriller",0.452745,6.0,svenska
"Drama, Thriller",6.53667,6.5,English
Documentary,1.330991,8.5,English
"Comedy, Horror",1.550234,6.0,English
Horror,0.978228,4.9,English
Comedy,0.511214,4.8,svenska
"Drama, Foreign",0.245309,5.8,", العربية, Français"
"Mystery, Drama",1.502637,6.3,Türkçe
"Drama, Comedy",0.442906,6.3,فارسی
"Drama, Romance",1.093847,7.0,Türkçe
"Drama, Fantasy",4.048978,7.1,Español
Drama,1.151359,6.5,English
"Drama, Romance",2.437961,7.0,"English, Polski, Português"
Documentary,0.182227,4.7,English
Documentary,0.489328,6.8,English
"Drama, Documentary",1.347578,5.9,"English, Español"
Science Fiction,0.581963,7.5,Français
Drama,9.95301,5.3,Norsk
"Documentary, Drama",1.038676,7.0,"Dansk, English, Français, Português"
"Comedy, Drama, Music",0.375059,7.0,Polski
"Romance, Science Fiction, Drama, Fantasy",7.37535,6.2,English
"Thriller, Comedy, Crime",6.301471,5.7,English
"Crime, Drama, Horror, Thriller",4.705283,7.2,Deutsch
Drama,0.397274,6.9,English
Horror,0.051973,3.0,English
"Drama, Action, Thriller, Crime, Foreign",0.609931,5.0,广州话 / 廣州話
"Romance, Comedy",0.936104,6.0,广州话 / 廣州話
"Action, Comedy, Crime",7.379497,5.9,"Español, English"
"Crime, Drama",0.829262,5.8,English
"Thriller, Comedy, Action",5.75637,5.9,English
Comedy,2.847953,5.4,Français
Drama,0.046175,5.0,", Español"
Drama,0.290017,9.8,العربية
"Drama, Foreign",1.971658,6.7,"English, हिन्दी"
"Documentary, Family",0.496541,4.3,English
"Drama, TV Movie",6.400496,7.1,English
"Drama, History",5.97966,7.0,Español
Comedy,0.748977,4.5,English
"Drama, Romance",5.348025,7.3,"English, Français, Deutsch"
Documentary,0.203511,9.0,English
Documentary,0.878152,7.2,English
Drama,0.32287,7.7,English
"Comedy, Drama",0.155356,6.7,svenska
Drama,0.489634,6.2,"普通话, svenska, English"
"Thriller, Crime, Drama",11.645847,6.4,"English, Français"
Drama,8.00411,5.4,"English, हिन्दी, اردو"
"Action, Drama, Romance",0.63504,5.9,"தமிழ், తెలుగు"
"Comedy, Crime",7.321172,5.6,English
"Drama, Foreign, Romance",1.244581,6.3,
Drama,0.038962,1.0,English
Comedy,0.367875,6.4,suomi
Documentary,0.018017,7.0,suomi
"Thriller, Drama",0.015022,6.0,English
Drama,1.018864,7.8,Bosanski
"Action, Adventure, Horror",0.445468,4.3,English
Drama,0.182979,4.6,Slovenščina
"Horror, Science Fiction",1.299664,4.7,English
"Drama, Romance",3.468202,6.7,", English, Afrikaans, isiZulu"
Documentary,3.271813,6.5,"English, עִבְרִית"
Comedy,3.042514,4.2,"English, Deutsch"
"Drama, War, Thriller",6.468915,7.1,"English, Deutsch"
"Drama, Crime",1.888935,6.9,Polski
Comedy,0.172538,6.1,English
"Documentary, Adventure, Mystery",4.2e-05,0.0,English
Documentary,0.006847,0.0,
"Action, Horror, Thriller, Science Fiction",3.446155,4.0,English
"Adventure, Action, Thriller",4.145285,4.8,English
"Comedy, Drama, Romance",2e-06,0.0,English
Comedy,0.378399,3.8,English
"Action, Adventure",0.480577,0.0,English
"Music, Comedy, Romance, Drama",4.11326,6.5,English
"Fantasy, Drama, Romance",20.485203,5.6,English
"Action, Adventure, War",1.189812,5.8,English
"Drama, Romance",1.736752,6.9,Türkçe
"Drama, Comedy",1.334026,4.9,English
Drama,0.050135,6.0,English
"Action, Western",0.96798,5.0,English
Comedy,11.29356,5.7,English
Animation,2.414009,7.4,Pусский
Documentary,1.911168,8.3,فارسی
"Drama, War",2.6341,6.1,", Français"
Documentary,1.749649,6.6,"English, हिन्दी"
Documentary,0.016318,5.0,
Romance,7.598422,6.9,"English, Português"
"Drama, Romance",9.921433,5.1,"Polski, Français, English"
"Music, Documentary",0.005173,0.0,English
Documentary,2.978835,5.5,"Deutsch, Français, English"
Documentary,3.80163,8.3,English
Documentary,6.373118,7.5,"English, Bahasa indonesia"
Drama,1.221611,7.0,English
"Romance, Drama, Comedy",0.834103,6.4,"English, 日本語"
"Documentary, Music, Foreign",0.584342,7.6,English
Action,0.149997,5.7,English
"War, Action",2.002281,5.3,English
Drama,0.002709,0.0,English
Documentary,6.154844,6.2,English
"Drama, Romance",2.194163,4.7,Dansk
Comedy,0.063139,4.0,English
"Drama, Mystery",0.273441,8.0,English
Documentary,0.131653,8.0,English
"Mystery, Drama",0.007595,0.0,English
"Animation, Comedy, Adventure, Family, Science Fiction",11.617481,5.7,English
"Drama, History",0.341101,1.0,English
Comedy,0.184999,7.2,English
Drama,3.648268,6.1,Português
Drama,0.790439,2.0,
Documentary,0.208295,7.3,English
Documentary,0.002374,0.0,"English, Deutsch"
Drama,0.541054,4.9,English
"Comedy, Romance, Drama",13.869345,5.3,English
Documentary,0.18349,7.5,English
"Horror, Foreign",0.199618,5.0,Italiano
"TV Movie, Horror, Science Fiction, Thriller",1.372241,4.0,
Documentary,0.225251,7.5,"English, Español"
"Drama, Foreign",1.015355,5.0,हिन्दी
"Action, History",2.060217,5.3,"Italiano, Norsk, Polski"
"Thriller, Drama",13.542675,5.8,"English, Español"
Drama,0.108482,5.0,suomi
"Action, Foreign, Thriller",1.225718,6.3,广州话 / 廣州話
Documentary,4.02059,7.0,"English, svenska"
Drama,0.465373,6.0,ελληνικά
Documentary,0.051896,9.0,
"Science Fiction, Thriller, Horror",26.972326,6.1,English
Drama,1.131639,6.5,English
Drama,0.704886,6.3,Español
Drama,0.805203,5.8,Dansk
"Comedy, Drama",7.90622,7.0,"English, Deutsch"
Documentary,1.017042,8.0,English
"Crime, Drama, Family, Mystery, Thriller",0.509197,4.0,English
"Western, Romance",0.722797,5.5,English
Documentary,0.406711,7.3,No Language
"Documentary, Horror",0.497952,7.1,No Language
"Drama, Comedy",0.383446,2.5,svenska
Documentary,1.110539,6.9,English
Documentary,0.152869,7.7,
"Comedy, Drama",0.265256,6.4,Français
"Comedy, Drama, History",0.591262,5.9,Français
Comedy,0.436688,6.3,Français
"Action, Family, Fantasy",11.606061,5.5,English
Comedy,0.170936,5.0,广州话 / 廣州話
"Comedy, Documentary",0.358968,9.5,English
"Thriller, War, Drama",0.229034,4.9,"English, Deutsch"
Drama,3.497322,5.5,Italiano
Drama,5.451273,7.2,العربية
Comedy,0.382647,6.6,Deutsch
"Family, Animation",1.192956,7.1,English
"Drama, Romance",5.96317,6.8,svenska
"Comedy, Drama",1.052711,3.5,Español
"Drama, Horror, Thriller",7.222816,6.5,English
Thriller,6.651567,5.5,English
"Drama, Horror, Mystery, Thriller",0.471,5.5,English
"Comedy, Romance",0.302462,6.0,Français
"Documentary, Music",4.290209,7.4,English
"Fantasy, Adventure, Family",11.137329,5.7,English
"Horror, Thriller",1.398033,6.3,Español
"Animation, Comedy, Science Fiction",1.789882,5.1,English
Documentary,0.01696,0.0,
"Thriller, Action, Crime, Drama",7.150388,5.9,"English, Français, shqip, Español"
Documentary,0.081011,6.0,Français
Drama,0.129546,7.0,日本語
Drama,0.346396,8.3,日本語
"Drama, Music, Romance",0.187161,3.9,English
Documentary,0.874264,6.5,English
Documentary,0.193355,6.6,English
Documentary,0.17424,7.0,English
Thriller,1.719131,4.6,English
"Horror, Thriller",3.673082,6.4,English
Comedy,11.978788,5.1,English
"Adventure, Family, Comedy, Fantasy",1.852427,6.2,"English, Pусский"
"Adventure, Action, Fantasy",3.042738,4.3,English
Comedy,8.804555,6.6,"English, Français, Deutsch, Italiano"
Documentary,0.00022,8.5,
Drama,0.141417,5.7,日本語
"Comedy, Drama, Romance",0.1486,6.4,English
"Drama, History, War",6.159679,6.1,"English, 日本語"
"Crime, Drama, Thriller",2.698707,6.5,Deutsch
"Drama, Thriller, Romance",2.006277,5.9,"English, Español"
"Drama, Action, History",6.946494,6.2,English
Documentary,0.00168,0.0,
Documentary,1.564398,6.8,English
"Foreign, Documentary",0.466236,7.1,English
Thriller,3.826243,5.1,"English, Français"
"Romance, Drama",1.192361,5.6,Español
"Drama, Thriller",0.693926,5.6,Français
Drama,0.408682,6.7,English
Drama,0.213435,5.8,English
Documentary,1.590847,0.0,English
"Drama, Music",0.184487,5.2,English
Horror,1.122097,6.4,English
Drama,2.989182,5.2,Srpski
Documentary,0.26625,4.6,
"Drama, Western",1.074159,6.6,"English, Français, 日本語, Italiano"
Documentary,0.221452,8.0,"Español, English"
"Comedy, Drama, Family, TV Movie",5.15245,5.9,English
"Comedy, Romance, TV Movie",5.458241,6.3,English
"Comedy, Drama, Family, TV Movie",5.04144,6.0,"English, Français"
"Horror, Thriller",3.156772,5.2,English
"Comedy, Romance",11.783332,5.4,English
Comedy,9.385769,5.3,English
"Drama, Crime",14.830235,5.0,English
"Action, Foreign, Science Fiction",0.297129,4.8,日本語
"Foreign, Science Fiction",0.008673,6.3,"日本語, 普通话"
Documentary,0.496605,5.5,Deutsch
Comedy,6.757549,5.8,Español
"Horror, Thriller",0.553158,4.2,
Drama,0.000603,3.5,English
Drama,0.155054,7.3,Português
"Action, War",3.273933,6.9,"English, Deutsch"
"Drama, History, War",1.236516,6.5,English
Documentary,0.008243,0.0,
"Horror, Science Fiction",0.369082,3.4,English
Horror,0.408121,3.7,
Documentary,0.04353,4.0,
"Comedy, Drama, Music",0.491187,5.9,suomi
"Documentary, Comedy",1.051781,5.9,English
"Crime, Thriller",8.611077,6.6,English
Drama,0.616015,6.5,
Comedy,3.097025,3.6,"English, Deutsch"
Documentary,0.837594,7.5,English
"Action, Thriller",0.151671,4.8,English
"TV Movie, Crime, Drama, Mystery",0.419783,5.5,English
"History, Drama",1.14295,5.0,English
"TV Movie, Drama, Western, Romance",0.332653,0.0,English
Documentary,0.948353,4.5,English
"Drama, Comedy, Family",0.092413,6.0,Español
Drama,1.926106,6.6,English
"Drama, Comedy, Romance",5.731701,7.1,English
"Animation, Action, Thriller",1.637685,6.0,日本語
Music,1.496974,7.0,English
"Drama, Thriller",3.00147,5.7,English
"Mystery, Crime",0.193722,6.5,English
Documentary,0.043159,7.0,
Drama,0.617565,7.0,English
"Romance, Comedy",7.04835,5.6,English
"Drama, Romance",0.087327,6.5,English
Horror,1.728538,4.8,English
Horror,2.427323,4.9,English
Thriller,5.543966,5.2,English
Thriller,1.475684,4.3,
"Comedy, Drama, Family",0.466287,4.6,
"Documentary, Horror, Thriller",1.549716,6.4,English
"Drama, Thriller",0.680068,0.0,
"Crime, Drama",1.236137,7.0,English
"Crime, Thriller",0.346332,6.6,English
"Action, Thriller",2.269177,3.3,"български език, English, Polski, Español"
"Comedy, Drama, Mystery, Thriller",9.617662,7.3,Français
"Comedy, Romance",0.813846,3.3,English
Drama,0.845582,5.6,English
"Action, Adventure, War",0.268708,1.0,English
"History, War, Drama",0.448514,4.3,"English, Español"
"Drama, Crime",7.492658,6.8,"English, Español"
"Action, Drama",9.572066,6.9,"Deutsch, Norsk, English"
"Comedy, Fantasy, Thriller",10.642891,5.8,English
"TV Movie, Drama",4.657956,5.9,English
"Drama, Family",0.080345,3.8,English
"Action, Adventure, Drama, Family",5.751436,6.3,Español
"Family, Drama",1.024535,4.3,English
"Action, Adventure, Romance, Science Fiction, Thriller",11.342024,6.0,English
Drama,1.758492,7.1,普通话
"Drama, Family",0.306456,3.0,English
Comedy,0.663723,4.4,English
Comedy,1.170867,6.3,
"Drama, Romance",0.031905,0.0,English
"Drama, Romance",2.018721,5.5,English
"Drama, Action",0.218525,5.0,"English, Deutsch"
"Comedy, Drama",0.967134,6.0,English
"Drama, Thriller",8.278079,5.0,"English, Español"
Documentary,0.961196,5.0,English
"Comedy, Drama, Romance",10.098539,5.5,English
"Drama, Science Fiction, Thriller",1.650176,4.3,English
Drama,1.749168,4.3,"English, Deutsch"
"Action, Adventure, Comedy",0.142365,5.0,
Western,1.011509,0.0,"English, Français"
Comedy,1.405496,6.2,English
"Documentary, Foreign",1.117776,6.4,"English, Deutsch, עִבְרִית"
Documentary,0.414932,5.0,English
Action,1.630422,7.2,తెలుగు
"Crime, Drama, Thriller",2.769025,4.4,English
"Drama, Foreign",0.562097,6.7,"हिन्दी, தமிழ்"
"Comedy, Drama, Romance",0.845334,5.5,English
"Animation, Family",1.353059,5.9,English
"Music, Documentary",0.004169,0.0,
"Comedy, Romance",2.089464,2.9,English
"Family, Documentary",5.389068,7.2,"English, Français, Deutsch, Pусский"
"Crime, Drama, Mystery",3.897281,5.8,English
Documentary,0.929422,6.9,English
"Drama, Foreign, Romance",0.223105,3.5,Srpski
"Comedy, Drama",0.459026,6.7,Srpski
Drama,2.125772,5.8,"Český, English, Magyar, Polski"
Drama,0.952815,3.8,English
"Crime, Drama, Mystery",1.406776,5.8,日本語
"Action, Crime, Drama, Thriller",1.645895,4.0,English
Comedy,0.879728,6.6,Srpski
"Adventure, Fantasy, Science Fiction",0.512911,5.0,"English, Deutsch"
Comedy,1.593302,2.7,English
Drama,0.0,0.0,English
"Comedy, Romance",0.402696,5.0,Deutsch
Comedy,0.885458,5.6,English
Horror,12.01525,6.4,English
"Thriller, Crime, Drama, Mystery",7.876299,6.5,"English, Français"
"Action, Horror, Science Fiction",2.382208,6.3,日本語
"Drama, Comedy",0.332994,6.8,Italiano
Documentary,0.191493,6.5,English
"Comedy, Drama",2.271809,6.3,English
"Action, Adventure, Crime",7.67857,5.7,English
"Comedy, Romance",3.751532,5.6,English
"Comedy, Romance",7.881755,5.6,"Français, Italiano, Polski"
Drama,0.575124,6.0,Dansk
"Comedy, Drama",6.60279,5.7,English
Documentary,0.575473,6.8,English
"Comedy, Drama, Romance",1.116696,5.9,"Magyar, Español, English"
Comedy,7.502597,6.3,"English, Français"
Comedy,0.091852,1.0,English
"Adventure, Drama",0.591862,6.8,English
"Action, Adventure",0.099109,7.0,English
"Crime, Comedy",0.584397,3.9,English
"Thriller, Drama, Romance",2.071165,6.1,Français
Comedy,4.910542,6.4,English
Documentary,0.622835,5.0,English
"Comedy, Romance",0.514363,4.0,
Documentary,0.006884,0.0,
Documentary,0.044894,8.0,
Documentary,0.890254,6.8,English
"Drama, Documentary",0.779002,7.9,English
Documentary,0.228558,6.0,
Documentary,0.912766,6.4,English
Documentary,0.054699,0.0,
"Action, Science Fiction, Adventure, Mystery",14.654053,6.4,English
"Adventure, Horror, Action, Thriller, Science Fiction",2.554387,3.2,English
Thriller,1.183753,4.9,"Pусский, English"
Science Fiction,0.974418,6.2,日本語
"Drama, Crime",13.631223,6.7,English
"Thriller, Adventure, Drama",5.405958,4.8,English
Documentary,1.045944,7.9,English
"Drama, Romance",8.452485,5.9,English
Drama,11.637224,6.8,
Drama,0.476712,6.6,English
"Drama, Comedy, Documentary, Romance, Family, Foreign",1.517025,7.1,English
"Thriller, Drama",0.420241,5.0,Deutsch
"Drama, Comedy",0.0,0.0,suomi
Documentary,0.473057,4.9,
Comedy,0.842744,5.8,Português
"Action, Thriller",1.350475,6.6,"广州话 / 廣州話, English"
"TV Movie, Crime, Drama",0.568187,6.0,English
"Action, Western",0.910456,4.6,"English, Français"
"Adventure, Western",2.298765,4.9,"English, Français"
Documentary,0.336686,5.0,"English, 普通话"
"Comedy, Romance",4.711231,6.2,"Dansk, Italiano, English"
Documentary,0.00891,0.0,
"Music, Documentary",0.333467,6.5,English
Drama,5.114346,4.8,English
"Comedy, Drama",0.488919,6.7,English
"Animation, Drama, Family, Fantasy",10.249498,8.0,日本語
"Documentary, Foreign",0.14603,6.0,English
Science Fiction,1.181169,5.4,"Deutsch, 日本語, English"
"Documentary, History",0.401288,5.7,"English, Deutsch"
Documentary,2.48821,8.2,English
"Drama, Thriller",12.18812,6.9,English
Comedy,1.589559,5.0,English
Comedy,0.7402,3.0,English
Drama,0.847384,7.5,Español
"Romance, Drama",0.211747,7.1,Français
"Horror, Romance, Science Fiction",0.337964,4.3,"English, Deutsch"
"Horror, Science Fiction",0.268765,6.3,"Deutsch, 日本語"
Drama,0.39307,8.0,
Drama,3.015326,7.3,日本語
"Animation, Action, Science Fiction",3.478962,5.5,"Dansk, English, Español"
"Adventure, Animation, Action",1.697118,6.2,English
"Drama, Action, Thriller, Science Fiction, Foreign",0.521868,7.4,"Deutsch, , Türkçe"
"Horror, Science Fiction, Foreign",2.31428,4.0,한국어/조선말
Documentary,1.926557,5.7,English
"Thriller, Crime, Action",9.218002,6.1,English
Thriller,1.430827,5.6,English
"Drama, Comedy, Romance",0.329193,10.0,English
"Comedy, Romance",4.725522,7.8,English
Comedy,1.01699,6.0,English
"Science Fiction, Animation, Action",10.474313,5.2,日本語
"Animation, Action, Science Fiction",5.539197,6.8,English
"Animation, Action, Science Fiction",5.769957,6.7,
"Documentary, Music",2.690008,7.1,English
Drama,1.472463,6.3,"English, Deutsch"
"Horror, Thriller, Mystery",5.825388,6.3,English
"Science Fiction, Comedy, Thriller, Horror",9.609614,6.0,English
"Action, Thriller",9.329974,5.6,English
Horror,1.377897,4.0,English
"Drama, Music",0.213969,5.5,English
Documentary,1.510944,6.6,English
"Action, Drama, History",8.959821,6.3,"广州话 / 廣州話, 日本語, 普通话"
Science Fiction,0.764046,5.9,English
"Crime, Drama, Romance",0.306936,6.0,English
Action,0.360854,3.4,English
Action,0.869784,5.0,
Documentary,0.340861,0.0,English
"Comedy, Drama",0.238776,5.5,English
"Documentary, Horror",7.429735,7.6,English
"Comedy, Horror",2.410649,5.2,English
"Drama, Mystery, Science Fiction, Thriller",0.185714,6.0,English
Documentary,0.149432,7.3,български език
"Action, Comedy",11.414048,6.2,English
Drama,5.540214,5.4,English
"Drama, History",1.387287,5.4,English
Documentary,0.737019,4.9,English
"Comedy, Drama",11.295267,6.1,English
"Animation, Action, Adventure",7.389122,6.6,"English, Français, Español"
Science Fiction,0.100693,4.5,English
"Romance, Drama",0.005145,0.0,Deutsch
"Action, Thriller",7.112624,5.3,English
"Comedy, Drama",9.673017,5.8,English
Drama,2.871891,6.5,English
Drama,1.077252,6.9,"English, 한국어/조선말, 普通话"
"Adventure, Drama",6.475665,5.9,English
Documentary,0.006091,1.0,English
"Action, Thriller",1.164735,5.8,English
"Comedy, Adventure",0.210882,6.8,English
"Action, Drama, War",3.092242,5.1,English
"Adventure, Fantasy, Action, Science Fiction",3.600607,4.6,English
"Comedy, Drama",0.313017,0.0,English
Drama,7.881579,7.0,English
Drama,1.025725,5.0,Italiano
"Documentary, Mystery",0.005351,7.1,Deutsch
"Action, Western",1.61646,5.1,"English, Español"
"Drama, Thriller, Crime, Action",0.663588,2.7,
"Drama, Romance, War, TV Movie",2.11126,5.3,"English, Deutsch"
Comedy,1.069902,8.5,English
"Foreign, Action, Adventure, War",0.003013,6.0,普通话
Drama,0.086291,6.0,Nederlands
"Drama, Action, Thriller",3.688285,6.9,普通话
"Drama, Thriller",0.568075,6.3,Deutsch
Documentary,0.527539,6.3,"العربية, English"
"Drama, Comedy, Romance",7.987933,5.5,English
"Comedy, Crime",3.222525,5.7,English
"Fantasy, Action",0.009961,6.4,"普通话, 广州话 / 廣州話"
"Action, Drama, Foreign",0.018297,5.3,普通话
"Action, Foreign",0.995774,6.7,普通话
"Action, Drama, Thriller",0.782932,6.0,English
"Horror, Thriller",0.437372,4.0,English
